ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
WBMD7200,"PAPER,FLGSHP BRIGHT8.5X11,98BR,20#",15,CT,29.88,449.85
LMPIT170,"PPR,8.5X11,20LB,P1NK,500/RM,5000/CT",50,RM,4.98,249.5
CASMP2201CY,"PPR,8.5X11,20LB,CANARY,500/RM",30,RM,4.99,149.7
CASMP2201GN,"PAPER,XERO/DUP,20#,LTR,GN",30,RM,4.99,149.7
CASMP2201BE,"PPR,8.5X11,20LB,BLUE,600/RM,5000/CT",30,RM,4.99,149.7
SMD76560,"JACKET,FILE,LGL,STR,2*EXP",10,BX,28.99,289.8
ACC70012,"FASTENER,2 PC,1*CAP",12,BX,5.29,63.48
UNV00132,"RUBBERBANDS,SIZE,32,1LB",1,PK,7.24,7.24
AAGA1102,"CALENDAR,WALL,YR,36X24,LAM,VERT/HORIZ.JAN-DEC.BE",1,EA,15.99,15.99
