ITEM NUMBER,DESCRIPTION,QTY ORD,QTY SHP,U/M,UNIT PRICE,EXT PRICE
KND17221,"BAR,KINDPLUS,POMGRNT/BLUBRY/PSTCHIO",1,1,BX,17.91,17.91
GMT6547,"COFFEE,K-CUP,PEETS,MJR DICKSN",1,1,BX,20.99,20.99
GMT9577,"COFFEE,KCUP, STARBUCKS VERANDA, 24CT",1,1,BX,12.99,12.99
GMT9572,"COFFEE,KCUP, STARBUCKS, PIKE PLACE, 24CT",1,1,BX,12.99,12.99
GMT6752,"COFFEE,KCUP,MOCHA NT FDG,24/BX",1,1,BX,12.99,12.99
BTC10393,"TEA,BIGELOW,MINT MEDLEY",1,1,BX,5.06,5.06
TMS812100TMCA,"REFILL,YANKEE,CLNCOTTON,30D",2,2,EA,7.99,15.98
