ITEM NUMBER,DESCRIPTION,QTY ORD,QTY SHP,U/M ,UNIT PRICE,EXT PRICE
BLZ41200,"PAPER,LTR,98BRT,WHITE,5000/CT",1,1,CT,54.99,54.99
GMT6680,"KCUP, FOLGERS, CARAMEL DRIZZLE, 24/BX",1,1,BX,13.99,13.99
KND17256,"BAR,KINDPLUS.PB/DARK CHOC",1,1,BX,17.91,17.91
BTC10363,"TEA, BIGELOW, GREEN POMEGRANATE",1,1,BX,6.99,6.99
BTC003451,"TEA, BIGELOW ENGLISH TEATIME",1,1,BX,4.79,4.79
GMT6732,"COFFEE,KCUP,FR VAN,24/BX",1,1,BX,12.99,12.99
GMT9577,"COFFEE,KCUP, STARBUCKS VERANDA, 24CT",1,1,BX,12.99,12.99
TWG09954,"24-CT KCUPS, CHAI",1,1,BX,13.99,13.99
GMT6547,"COFFEE,K-CUP,PEETS,MJR DICKSN",1,1,BX,20.99,20.99
KND17221,"BAR,KlNDPLUS,POMGRNT/BLUBRY/PSTCHIO",1,1,BX,17.91,17.91
