ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
ACC72385,"CLIPS,NON-SKID.#1,1M/PK",5,PK,5.99,29.95
PERR11476903,"WATER.ECO,POLAND SPRING,112L.24/CT",5,CT,8.99,44.95
DXESXP9PATHPK,"PLATE,PAPER,ULTRA.8.5"",PATHWAYS 125/PK",1,PK,21.99,21.99
DA01602,CLEANER SOFT SCRUB 9/24OZ,1,CT,44.99,44.99
WBIHAB6DK50,"LINER,13GL,DRWST,50/BX,WE",2,BX,12.99,25.98
DXE5338CD,"CUP.HOT.8OZ,1M/CT",1,CT,107.79,107.79
PGC88211,"TOWEL,BOUNTY,SAS,8/RL,WH",2,PK,15.99,31.98
DMN845354,"SUGAR, DOMINO, 2000/CS",1,CS,15.99,15.99
GMT14732,"TEA,KCUP,LEMON ZINGER 24BX",2,BX,13.74,27.48
RAC89882,"WIPES,DISNF,EMB,LEM,CL,WH",1,PK,22.99,22.99
