ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
SMD12040,"FOLDER,MLA,2FSTNR,LTR,BE",1,BX,48.49,48.49
SMD12740,"FOLDER,MLA,2FSTNR,LTR,RD",1,BX,48.49,48.49
HEWCF440AM,"TONER,HP312A,3PK,LJ,AST",2,PK,331.99,663.98
AVE11129,"lNDEX,READY,1-31",4,ST,8.99,35.96
AVE11127,"lNDEX,BNDRLTR,JAN-DEC CLR",2,ST,5.79,11.58
SAN60126,"PEN,UNIBALL,VISION,FINE,BK",1,DZ,23.99,23.99
SAN33951,"PEN,GEL,SIGNO,207,BE",1,DZ,23.79,23.79
SAN33952,"PEN,GEL,SIGNO,207,RD",1,DZ,24.95,24.95
BICGSF11BE,"PEN,ROUND STIC.FINE.BE",2,DZ,2.59,5.18
BICGSF11BK,"PEN ,ROUND STIC,FINE,BK",2,DZ,2.74,5.48
BICGSFG11RD,"PEN,BPT,RNDSTC,GRP,FN,RD",2,DZ,2.74,5.48
HEWCF380A,"TONER,BLK.312A-2.4K",3,EA,91.99,275.97
