ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
BLZH2O5GS,"WATER,5 GAL JUG ,BLIZZARD,SOUTH",6,EA,3.49,15.96
KLF91140,"INDEX,(91140).LTR.BTM TAB.EXH A,25P",1,PK,3.36,3.36
KLF91141,"INDEX(91141)LTR.BTM.EXH B,25PK",1,PK,3.36,3.36
KLF91143,"INDEX.(91143),LTR,BTM TAB,EXH D,25/PK",1,PK,3.36,3.36
KLF91144,"INDEX.(91144),LTR,BTM TAB,EXH E,25/PK",1,PK,3.36,3.36
KLF91145,"INDEX,(91145),LTR,BTM TAB.EXH F,25/PK",1,PK,3.36,3.36
KLF91146,"INDEX,(91146),LTR,BTM TAB.EXH G,25/PK",1,PK,3.36,3.36
KLF91147,"INDEX,(91147),LTR,BTM TAB.EXH H,25/PK",1,PK,3.36,3.36
KLF91148,"INDEX.(91148),LTR,BTM TAB,EXH I.25/PK",1,EA,3.36,3.36
