ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
BLZH2OSGS,"WATER,5 GAL JUG.BLIZZARD.SOUTH",6,EA,3.99,23.94
BLZH2O5GSDEPOSIT,"BOTTLE,DEPOSIT,5G,SOUTH",6,EA,6,36
MYP81200,"PAPER,MY COPY,8.5X11,20#,9BBR1ITE",4,CT,19.99,79.96
BLZ16924,"WATER,BLIZZARD,1/2L.24/CT",4,CT,3.99,15.96
KLF91140,"INDEX,(91140).LTR.BTM TAB.EXH A,25P",1,PK,5.36,5.36
KLF91141,"INDEX(91141)LTR.BTM.EXH B,25PK",1,PK,5.36,5.36
KLF81003,"INDEX,LTR,1/10,EX C,25PK(81003)",1,PK,5.38,5.36
KLF91143,"INDEX.(91143),LTR,BTM TAB,EXH D,25/PK",1,PK,5.36,5.36
KLF91144,"INDEX.(91144),LTR,BTM TAB,EXH E,25/PK",1,PK,5.36,5.36
KLF91145,"INDEX,(91145),LTR,BTM TAB.EXH F,25/PK",1,PK,5.36,5.36
KLF91146,"INDEX,(91146),LTR,BTM TAB.EXH G,25/PK",1,PK,5.36,5.36
KLF91147,"INDEX,(91147),LTR,BTM TAB.EXH H,25/PK",1,PK,5.36,5.36
KLF91148,"INDEX.(91148),LTR,BTM TAB,EXH I.25/PK",1,EA,5.36,5.36
