ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
UNV10630,"PAD,LTR RULED,PERF,LTR,CA(67163)",1,DZ,9.99,9.99
QUAR1580,"ENVELOPE,TYVEK,10X13,PLN(C0802)",1,BX,58.29,58.29
WBM21200,"PAPER,XERO/DUP,WE,LTR,20#",2,CT,46.99,93.98
GMT6783,"COFFEE,KCUP,WILD MT BLUBRRY,24/BX",1,BX,14.99,14.99
GMT1252,"KCUP,SWISS MISS, MILK CHOC HOT COCOA",1,BX,15.99,15.99
GMT6606,"COFFEE, KCUP, TULLYS HAWAIIAN BLEND, 24/BX",1,BX,14.99,14.99
MMM680RYBGVA,"FLAG,VALUE PACK,AST",1,PK,13.24,13.24
MMM6545SSAN,"PAD,POST-lT 3X3 5,NE",1,PK,10.99,10.99
