ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
FALDPSJB2,"SPRAY,DUSTER,DUSTOFF JR 2PK",1,PK,13.89,13.89
GMT6501,"COFFEE,K-CUP,REG VARIETY",3,BX,14.99,44.97
GMT6502,"COFFEE,KCUP,FLV VAR 8PK,CVC,FV,HZ,WMB,22/BX",3,BX,14.99,44.97
SAN33950,"PEN,GEL,SIGNO,207,BK",1,DZ,23.79,23.79
TOP20315,"PAD,NRULED,LTR,4/PK,WH",1,PK,16.49,16.49
BLZ44200,"PAPER,LGL,98BRT,WE",1,RM,14.49,14.49
MTH01179,"CLEANER,DISH,DETRGNT,LMYL",1,EA,5.99,5.99
SHRF41442,"SHRF FANCY HONEY BEAR SQUEEZE, 12 EA/CT",1,EA,5.99,5.99
BRTTN315C,"TONER,CYN.F/HL4570-3.5K",1,EA,124.99,124.99
