ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
WBM21200,"PAPER,FLGSHP BRIGHT8.5X11,98BR,20#",15,CT,29,435
ACC70022,"FASTENER,2 PC,2* CAP",10,BX,6.99,69.9
UNV01117,"RUBBERBAND,SlZE 117,1LB,BAGS",2,PK,4.99,9.98
UNV00418,"BAND,RUBBER,1/4 LB",1,PK,3.74,3.74
MMM6200341296,"TAPE,MENDG,PERM,3/4X1296",12,RL,1.19,14.28
MMM8549YW,"NOTE,HLND,3X3,YW 100/PD 12PD/PK",4,PK,6.49,21.98
BICB11YM,"HILIGHTER,BRITELINER,YW",1,DZ,7.99,7.99
BICBL11PK,"HILIGHTER,BRITELINER,PK",1,DZ,7.99,7.89
UNV35662,"NOTE ,STICK-IT,1.5X2YW1CPD<23152>",6,PK,6.39,38.34
BICGSM609BK,"PEN,ROUND STIC 60 PACK,BK",2,BX,5.99,11.98
UNV76620,"SOOK,STENO,GREGG,GN,60 SH ",24,EA,1.09,26.16
